tract_id,ward,partial,blocks,housing,housing_percent,pop,pop_percent
17031191100,36,1,83,2115,0.989,7326,0.988
17031191200,36,1,36,1082,0.996,3845,0.998
17031191200,37,1,4,4,0.004,8,0.002
17031191301,29,1,2,1,0.001,1,0
17031191301,36,1,74,1531,0.999,5396,1
17031191302,29,1,3,0,0,0,0
17031191302,36,1,68,1461,1,5034,1
17031200100,31,0,72,1409,1,4354,1
17031200200,31,0,68,1765,1,5427,1
17031200300,31,1,19,463,0.704,1512,0.684
17031200300,35,1,11,195,0.296,697,0.316
17031200401,35,1,21,554,0.529,1834,0.509
17031200401,36,1,19,494,0.471,1769,0.491
17031200402,26,1,11,392,0.293,1232,0.28
17031200402,35,1,33,947,0.707,3164,0.72
17031210100,33,1,73,1579,0.964,3839,0.953
17031210100,35,1,2,59,0.036,189,0.047
17031210400,31,0,32,1078,1,3035,1
17031210501,30,0,44,1574,1,3900,1
17031210502,30,0,41,1709,1,4486,1
17031210601,35,0,34,1132,1,3104,1
17031210602,35,0,49,1754,1,4683,1
17031210700,33,0,66,1738,1,4309,1
17031210800,33,0,27,443,1,1196,1
17031210900,32,1,2,140,0.107,303,0.099
17031210900,33,1,66,1169,0.893,2765,0.901
17031220300,1,1,11,249,0.238,524,0.249
17031220300,32,1,42,797,0.762,1578,0.751
17031220400,1,1,9,224,0.183,483,0.194
17031220400,32,1,41,1003,0.817,2012,0.806
17031220500,32,0,55,1339,1,2626,1
17031220601,32,1,3,223,0.282,363,0.206
17031220601,35,1,24,569,0.718,1403,0.794
17031220602,32,1,4,165,0.062,293,0.058
17031220602,35,1,62,2488,0.938,4771,0.942
17031220701,31,0,37,1205,1,3437,1
17031220702,31,1,45,1067,0.686,2608,0.642
17031220702,35,1,15,488,0.314,1452,0.358
17031220901,26,1,20,745,0.644,2243,0.641
17031220901,35,1,11,411,0.356,1255,0.359
17031220902,35,0,45,1118,1,3371,1
17031221000,26,1,8,231,0.211,659,0.225
17031221000,35,1,24,863,0.789,2264,0.775
17031221100,26,1,41,1107,0.529,2566,0.527
17031221100,32,1,17,419,0.2,1023,0.21
17031221100,35,1,20,565,0.27,1281,0.263
17031221200,26,1,3,151,0.115,279,0.098
17031221200,32,1,36,1165,0.885,2581,0.902
17031221300,1,0,47,1403,1,3222,1
17031221400,1,0,38,1288,1,3020,1
17031221500,1,0,63,1542,1,2829,1
17031221600,32,0,74,1556,1,2969,1
17031222200,32,0,43,963,1,1912,1
17031222500,1,0,17,557,1,1410,1
17031222600,1,0,30,783,1,1602,1
17031222700,1,1,24,824,0.898,2009,0.899
17031222700,26,1,8,94,0.102,226,0.101
17031222800,1,1,11,390,0.94,1001,0.932
17031222800,26,1,4,25,0.06,73,0.068
17031222900,1,1,15,312,0.755,953,0.766
17031222900,26,1,11,101,0.245,291,0.234
17031230100,26,0,28,661,1,1623,1
17031230200,26,0,26,690,1,2107,1
17031230300,26,0,12,303,1,1024,1
17031230400,26,0,34,784,1,2609,1
17031230500,26,1,35,1161,0.979,3488,0.977
17031230500,36,1,6,0,0,1,0
17031230500,37,1,7,25,0.021,81,0.023
17031230600,26,1,69,1341,0.588,4072,0.597
17031230600,37,1,31,941,0.412,2746,0.403
17031230700,26,1,79,1780,0.873,5557,0.873
17031230700,27,1,4,80,0.039,235,0.037
17031230700,37,1,7,180,0.088,572,0.09
17031230800,26,0,16,405,1,1314,1
17031230900,26,0,59,2091,1,5399,1
17031231100,26,1,1,0,0,0,0
17031231100,27,1,18,442,1,1236,1
17031231200,26,1,1,0,0,0,0
17031231200,27,1,50,1541,0.645,3936,0.646
17031231200,37,1,30,849,0.355,2159,0.354
17031231500,27,1,104,2065,0.821,4772,0.79
17031231500,37,1,33,449,0.179,1267,0.21
17031240200,32,0,30,840,1,1452,1
17031240300,2,1,14,223,0.317,414,0.314
17031240300,32,1,23,480,0.683,903,0.686
17031240500,2,1,6,271,0.217,454,0.202
17031240500,32,1,22,978,0.783,1797,0.798
17031240600,1,0,22,657,1,1457,1
17031240700,1,0,23,632,1,1535,1
17031240800,1,1,19,720,1,1617,1
17031240800,26,1,2,0,0,0,0
17031240900,26,0,38,548,1,1182,1
17031241000,1,1,21,672,0.766,1619,0.791
17031241000,26,1,5,205,0.234,428,0.209
17031241100,1,1,24,932,0.535,1940,0.527
17031241100,26,1,20,810,0.465,1742,0.473
17031241200,1,0,31,843,1,1696,1
17031241300,2,0,26,829,1,1857,1
17031241400,1,0,70,2546,1,4595,1
17031241500,1,1,6,197,0.137,364,0.127
17031241500,2,1,47,1240,0.863,2508,0.873
17031241600,2,0,30,1809,1,3477,1
17031242000,1,1,22,1158,0.487,2204,0.483
17031242000,2,1,16,850,0.358,1589,0.348
17031242000,27,1,2,368,0.155,772,0.169
17031242100,1,0,58,1880,1,3648,1
17031242200,1,1,25,662,0.346,1316,0.367
17031242200,2,1,28,1250,0.654,2274,0.633
17031242300,2,0,61,1803,1,3240,1
